idelem,descripcion,accesoAsociado,intensidad,ocupacion,carga,nivelServicio,intensidadSat,error,subarea,st_x,st_y,velocidad
5049,GRAL. RICARDOS E-O(PL. TOROS-PSO. PSO. MARCELINO CAMACHO),490802,180,3,15,0,1500,N,1756,"437334,705317708","4470744,45645157",
5050,GRAL. RICARDOS E-O(PSO. MARCELINO CAMACHO-BATALLA TORRIJOS),490902,288,5,23,0,1500,N,1756,"437203,268038423","4470693,11688641",
5051,GRAL. RICARDOS O-E(BLASON-PSO. MARCELINO CAMACHO),490804,324,4,25,0,1500,N,1756,"437141,188365663","4470629,86818607",
3684,GRAL. RICARDOS E-O(BATALLA TORRIJOS-NTRA. SRA. LUZ),491002,360,4,15,0,3000,N,1756,"437069,310341324","4470566,96901624",
5052,GRAL. RICARDOS O-E(NTRA. SRA. LUZ-BLASON),490904,216,5,19,0,1500,N,1756,"437046,763465427","4470539,34502334",
5053,GRAL. RICARDOS O-E(REINOSA-NTRA. SRA. LUZ),491004,180,3,15,0,1500,N,1756,"436926,217859156","4470465,95757168",
5054,GRAL. RICARDOS O-E(PL. TOROS-CLARA CAMPOAMOR),490604,252,3,19,0,1500,N,1756,"437531,703604485","4470829,94936171",
5055,CLARA CAMPOAMOR S-N,490601,119,6,13,0,1500,S,1756,"437655,795494336","4470874,75377059",
5056,CASTRO ORO S-N,490403,108,63,66,2,1500,N,1756,"438053,997039915","4471241,64813124",
5058,BLASA PEREZ N-S,492601,108,2,9,0,1500,N,1756,"438287,121340244","4471545,42106267",
5059,PEDRO DIEZ N-S,490101,144,3,7,0,3000,N,1756,"438095,977941484","4471387,49796638",
3685,OPORTO S-N(VALLE ORO-GRAL. RICARDOS)(FRENTE-DECHA),492803,324,6,16,0,3000,N,1756,"437958,792768779","4471109,15446192",
3686,OCA N-S(MATILDE FERNANDEZ-GRAL.RICARDOS) FRENTE-DERECHA,492801,108,2,9,0,1500,N,1756,"437819,430782926","4471175,10956338",
5060,PL. TOROS N-S,490701,72,3,8,0,1500,N,1756,"437392,797383247","4470822,71432435",
5245,BLASON S-N,490901,216,5,19,0,1500,N,1756,"437149,461657768","4470532,33128311",
5246,NTRA. SRA. LUZ N-S,491001,72,1,6,0,1500,N,1756,"436945,984889227","4470528,03875074",
5247,GRAL. RICARDOS E-O(PEDRO DIEZ-OCA),490402,972,8,38,1,3000,N,1756,"438016,704581385","4471246,40639621",
5061,OPORTO S-N(VALLE ORO-GRAL. RICARDOS)(GIRO IZDA.),492806,144,3,12,0,1500,N,1756,"437955,896939319","4471104,00282617",
10025,OCA N-S(MATILDE FERNANDEZ-GRAL.RICARDOS) GIRO IZQUIERDA,492808,144,2,11,0,1500,N,1756,"437820,666748129","4471177,38101825",
10282,(MICRO) GRAL. RICARDOS E-O GIRO (PL. TOROS-CLARA CAMPOAMOR),0,180,3,15,0,1500,N,1756,"437472,625473131","4470792,19014163",
5036,(MICRO)GRAL. RICARDOS O-E(BLASON-PSO. MARCELINO CAMACHO)GIRO PSO. MARCELINO CAMACHO,0,216,3,17,0,1500,N,1756,"437213,035251167","4470698,11964165",
3447,(TACTICO) PAULINA ODIAGA E-O,492504,108,3,10,0,1500,N,1756,"438634,440778807","4471740,93365852",
5255,OPORTO O-E(LUIS GOMEZ-CNO VIEJO LEGANES),500204,417,4,31,1,1500,N,1722,"438121,8850611","4470949,15693071",
5063,OPORTO E-O(ARGUESO-CNO.VIEJO LEGANES),500304,341,2,24,0,1500,N,1722,"438286,422307676","4470857,69939831",
5064,(AFOROS) OPORTO O-E(ELVAS-PORTALEGRE),500404,227,2,17,0,1500,N,1722,"438465,37154052","4470811,13053516",
5065,OPORTO O-E(PORTALEGRE-ABRANTES),500504,379,3,28,1,1500,N,1722,"438619,828651794","4470780,39349989",
10575,(CARRIL BUS) OPORTO O-E(LUIS GOMEZ-CNO VIEJO LEGANES),0,0,0,0,0,1300,N,1722,"438120,654832001","4470945,87631978",
5067,OPORTO E-O(ABRANTES-PL. ELIPTICA),501904,360,5,28,1,1500,N,1720,"438816,671419387","4470764,11579763",
5068,BRAGANZA S-N (VÍA LUSITANA - ABRANTES),500505,38,2,4,0,1500,N,1722,"438807,707497478","4470652,94527846",
5069,MARCELO USERA E-O(SAN MAGIN-S. FILIBERTO),501602,262,4,20,0,1600,N,1720,"439282,195574551","4470756,18647489",
5070,CNO.VIEJO LEGANES S-N(FCO.ICAZA-OPORTO),500203,76,0,5,0,1500,N,1722,"438192,684637369","4470771,97479168",
