newSegmentId,speedLimit,distance
-00004855-3100-0400-0000-00000001c846,45,42.84
-00004855-3100-0400-0000-00000001c847,45,24.61
-00004855-3100-0400-0000-00000001c848,50,26.88
-00004855-3100-0400-0000-00000001c849,50,43.37
-00004855-3100-0400-0000-00000001c84b,50,9.8
-00004855-3100-0400-0000-00000001c889,50,4.86
-00004855-3100-0400-0000-00000001c88d,50,20.63
-00004855-3100-0400-0000-00000001c88e,50,11.67
-00004855-3100-0400-0000-00000001c88f,50,14.36
-00004855-3100-0400-0000-00000001c890,50,9.76
-00004855-3100-0400-0000-00000001c898,50,27.85
-00004855-3100-0400-0000-00000001c89b,50,12.3
-00004855-3100-0400-0000-00000001c89c,50,58.93
-00004855-3100-0400-0000-00000001c8a2,50,10.15
-00004855-3100-0400-0000-00000001c8e6,50,8.18
-00004855-3100-0400-0000-00000001c8ed,50,45.76
-00004855-3100-0400-0000-00000001c938,50,12.51
-00004855-3100-0400-0000-00000001c93a,50,11.6
-00004855-3100-0400-0000-00000001c93e,50,11.82
-00004855-3100-0400-0000-00000001c941,50,11.9
-00004855-3100-0400-0000-00000001c948,50,29.32
-00004855-3100-0400-0000-00000001c94d,50,49.4
-00004855-3100-0400-0000-00000001c94e,50,11.13
-00004855-3100-0400-0000-00000001c956,50,12.4
-00004855-3100-0400-0000-00000001c95d,50,36.46
-00004855-3100-0400-0000-00000001c95e,50,126.42
-00004855-3100-0400-0000-00000001c961,50,201.59
-00004855-3100-0400-0000-00000001c966,70,32.52
-00004855-3100-0400-0000-00000001c967,50,21.45
-00004855-3100-0400-0000-00000001c969,50,15.17
-00004855-3100-0400-0000-00000001c96a,50,80.33
-00004855-3100-0400-0000-00000001c96d,50,20.83
-00004855-3100-0400-0000-00000001c97d,50,124.97
-00004855-3100-0400-0000-00000001c981,50,12.54
-00004855-3100-0400-0000-00000001c983,50,10.3
-00004855-3100-0400-0000-00000001c984,50,12.11
-00004855-3100-0400-0000-00000001c988,50,12.4
-00004855-3100-0400-0000-00000001c999,50,15.54
-00004855-3100-0400-0000-00000001c99e,60,141.67
-00004855-3100-0400-0000-00000001c9a2,50,19.56
-00004855-3100-0400-0000-00000001c9a8,50,17.14
-00004855-3100-0400-0000-00000001c9ab,50,202.25
-00004855-3100-0400-0000-00000001c9b1,50,11.97
-00004855-3100-0400-0000-00000001c9b4,50,13.37
-00004855-3100-0400-0000-00000001c9b5,60,72.93
-00004855-3100-0400-0000-00000001c9b7,60,69.34
-00004855-3100-0400-0000-00000001c9b8,60,14.91
-00004855-3100-0400-0000-00000001c9ba,60,128.94
-00004855-3100-0400-0000-00000001c9bd,60,16.25
-00004855-3100-0400-0000-00000001c9bf,60,40.53
-00004855-3100-0400-0000-00000001c9c1,60,37.94
-00004855-3100-0400-0000-00000001c9c4,60,16.02
-00004855-3100-0400-0000-00000001c9cb,50,14.33
-00004855-3100-0400-0000-00000001c9cc,50,66.44
-00004855-3100-0400-0000-00000001c9d2,70,147.37
-00004855-3100-0400-0000-00000001c9d4,70,12.1
-00004855-3100-0400-0000-00000001c9dc,50,76.17
-00004855-3100-0400-0000-00000001c9e0,50,83.49
-00004855-3100-0400-0000-00000001c9e1,50,8.25
-00004855-3100-0400-0000-00000001ce48,50,125.74
-00004855-3100-0400-0000-00000001ce58,50,4.72
-00004855-3100-0400-0000-00000001ce5a,50,6.27
-00004855-3100-0400-0000-00000001ce5b,50,5.94
-00004855-3100-0400-0000-00000001ce5c,50,8.0
-00004855-3100-0400-0000-00000001ce5d,50,5.96
-00004855-3100-0400-0000-00000001ce5e,50,17.09
-00004855-3100-0400-0000-00000001ce5f,50,24.89
-00004855-3100-0400-0000-00000001ce60,50,14.54
-00004855-3100-0400-0000-00000001ce81,60,442.6
-00004855-3100-0400-0000-00000001ce83,60,318.66
-00004855-3100-0400-0000-00000001ce86,50,13.53
-00004855-3100-0400-0000-00000001d2f3,50,21.52
-00004855-3100-0400-0000-00000001d350,50,61.31
-00004855-3100-0400-0000-00000001d355,50,12.98
-00004855-3100-0400-0000-00000001d359,50,31.93
-00004855-3100-0400-0000-00000001d6c3,50,24.6
-00004855-3100-0400-0000-00000001d6eb,50,29.99
-00004855-3100-0400-0000-00000001d6f1,50,14.47
-00004855-3100-0400-0000-00000001d7c0,50,12.54
-00004855-3100-0400-0000-00000001d7c2,50,16.29
-00004855-3100-0400-0000-00000001d7ca,50,6.69
